state,district,category,feature,value
Rajasthan,PALI,School Profile,Schools in District,3.0
Arunachal Pradesh,NAMSAI,School Profile,Schools in District,6.0
Arunachal Pradesh,PAKKE KESSANG,School Profile,Schools in District,1.0
Madhya Pradesh,DHAR,School Profile,Schools in District,4.0
Mizoram,KOLASIB,School Profile,Schools in District,7.0
Kerala,KOZHIKODE,School Profile,Schools in District,10.0
Maharashtra,CHANDRAPUR,School Profile,Schools in District,2.0
Odisha,BOUDH,School Profile,Schools in District,1.0
Telangana,NIRMAL,School Profile,Schools in District,3.0
Maharashtra,BID,School Profile,Schools in District,3.0
Jammu & Kashmir,ANANTNAG,School Profile,Schools in District,7.0
Madhya Pradesh,BETUL,School Profile,Schools in District,2.0
Tamilnadu,PUDUKKOTTAI,School Profile,Schools in District,3.0
Uttar Pradesh,SIDDHARTHNAGAR,School Profile,Schools in District,1.0
Telangana,MEDCHAL,School Profile,Schools in District,5.0
Punjab,KAPURTHALA,School Profile,Schools in District,4.0
Telangana,NIZAMABAD,School Profile,Schools in District,4.0
Haryana,PANCHKULA,School Profile,Schools in District,2.0
Andhra Pradesh,KADAPA,School Profile,Schools in District,7.0
Haryana,GURUGRAM,School Profile,Schools in District,5.0
Manipur,SENAPATI,School Profile,Schools in District,8.0
Jammu & Kashmir,PULWAMA,School Profile,Schools in District,4.0
Uttar Pradesh,ALIGARH,School Profile,Schools in District,2.0
West Bengal,BANKURA,School Profile,Schools in District,5.0
Rajasthan,BIKANER,School Profile,Schools in District,3.0
Maharashtra,WASHIM,School Profile,Schools in District,1.0
Jammu & Kashmir,UDHAMPUR,School Profile,Schools in District,6.0
Assam,HOJAI,School Profile,Schools in District,2.0
Haryana,JIND,School Profile,Schools in District,5.0
Odisha,ANGUL,School Profile,Schools in District,3.0
Telangana,WANAPARTHY,School Profile,Schools in District,2.0
Jharkhand,GODDA,School Profile,Schools in District,4.0
Maharashtra,AKOLA,School Profile,Schools in District,2.0
Telangana,KARIMNAGAR,School Profile,Schools in District,2.0
Punjab,NAWANSHAHR,School Profile,Schools in District,3.0
Mizoram,SERCHHIP,School Profile,Schools in District,6.0
Uttar Pradesh,ETAH,School Profile,Schools in District,1.0
Chhattisgarh,BEMETARA,School Profile,Schools in District,3.0
Haryana,KURUKSHETRA,School Profile,Schools in District,5.0
Tripura,KHOWAI,School Profile,Schools in District,10.0
Gujarat,THE DANGS,School Profile,Schools in District,1.0
Gujarat,PATAN,School Profile,Schools in District,2.0
Himachal Pradesh,SOLAN,School Profile,Schools in District,8.0
Manipur,IMPHAL WEST,School Profile,Schools in District,12.0
Telangana,RAJANNA,School Profile,Schools in District,2.0
Telangana,SANGAREDDY,School Profile,Schools in District,4.0
Kerala,MALAPPURAM,School Profile,Schools in District,12.0
Assam,SONITPUR,School Profile,Schools in District,3.0
Kerala,KOTTAYAM,School Profile,Schools in District,7.0
Odisha,PURI,School Profile,Schools in District,4.0
Bihar,PASHCHIM CHAMPARAN,School Profile,Schools in District,4.0
Delhi,DELHI,School Profile,Schools in District,100.0
Odisha,KANDHAMAL,School Profile,Schools in District,3.0
Maharashtra,DHULE,School Profile,Schools in District,2.0
Madhya Pradesh,SEHORE,School Profile,Schools in District,2.0
Karnataka,CHITRADURGA,School Profile,Schools in District,3.0
Uttar Pradesh,LUCKNOW,School Profile,Schools in District,2.0
Himachal Pradesh,KINNAUR,School Profile,Schools in District,2.0
Tamilnadu,ARIYALUR,School Profile,Schools in District,1.0
Uttarakhand,UTTARKASHI,School Profile,Schools in District,6.0
Uttar Pradesh,AMETHI - CSM NAGAR,School Profile,Schools in District,1.0
Karnataka,UDUPI,School Profile,Schools in District,2.0
Andhra Pradesh,ANANTAPUR,School Profile,Schools in District,8.0
Andhra Pradesh,VISAKHAPATNAM,School Profile,Schools in District,9.0
Manipur,UKHRUL,School Profile,Schools in District,5.0
Uttar Pradesh,KAUSHAMBI,School Profile,Schools in District,1.0
Jharkhand,BOKARO,School Profile,Schools in District,5.0
Jammu & Kashmir,GANDERBAL,School Profile,Schools in District,2.0
Maharashtra,JALGAON,School Profile,Schools in District,3.0
Jharkhand,PASHCHIMI SINGHBHUM,School Profile,Schools in District,5.0
Assam,BAKSA,School Profile,Schools in District,4.0
Gujarat,BHARUCH,School Profile,Schools in District,3.0
Punjab,HOSHIARPUR,School Profile,Schools in District,8.0
Madhya Pradesh,RAISEN,School Profile,Schools in District,2.0
Karnataka,BENGALURU RURAL,School Profile,Schools in District,2.0
Nagaland,LONGLENG,School Profile,Schools in District,4.0
Bihar,BHOJPUR,School Profile,Schools in District,3.0
Punjab,AMRITSAR,School Profile,Schools in District,8.0
Assam,DIBRUGARH,School Profile,Schools in District,3.0
Rajasthan,JODHPUR,School Profile,Schools in District,5.0
Meghalaya,WEST KHASI HILLS,School Profile,Schools in District,12.0
West Bengal,COOCH BIHAR,School Profile,Schools in District,4.0
Manipur,KAKCHING,School Profile,Schools in District,4.0
Madhya Pradesh,SATNA,School Profile,Schools in District,3.0
Rajasthan,DUNGARPUR,School Profile,Schools in District,3.0
Meghalaya,EAST GARO HILLS,School Profile,Schools in District,5.0
Assam,DHEMAJI,School Profile,Schools in District,3.0
Telangana,SIDDIPET,School Profile,Schools in District,3.0
Bihar,ARWAL,School Profile,Schools in District,1.0
Uttar Pradesh,BIJNOR,School Profile,Schools in District,2.0
Rajasthan,BANSWARA,School Profile,Schools in District,4.0
Bihar,GOPALGANJ,School Profile,Schools in District,2.0
Chhattisgarh,KORIYA,School Profile,Schools in District,3.0
Tamilnadu,TIRUVARUR,School Profile,Schools in District,2.0
Rajasthan,UDAIPUR,School Profile,Schools in District,5.0
Bihar,NAWADA,School Profile,Schools in District,2.0
Bihar,KISHANGANJ,School Profile,Schools in District,2.0
Uttar Pradesh,SHRAWASTI,School Profile,Schools in District,1.0
Uttar Pradesh,BALLIA,School Profile,Schools in District,2.0
Assam,GOALPARA,School Profile,Schools in District,4.0
West Bengal,KOLKATA,School Profile,Schools in District,3.0
Uttar Pradesh,BAHRAICH,School Profile,Schools in District,2.0
Kerala,THIRUVANANTHAPURAM,School Profile,Schools in District,9.0
Andhra Pradesh,NELLORE,School Profile,Schools in District,7.0
Madhya Pradesh,REWA,School Profile,Schools in District,3.0
Punjab,RUPNAGAR,School Profile,Schools in District,3.0
Bihar,SAHARSA,School Profile,Schools in District,2.0
Punjab,MANSA,School Profile,Schools in District,2.0
Punjab,FATEHGARH SAHIB,School Profile,Schools in District,3.0
Arunachal Pradesh,KAMLE,School Profile,Schools in District,3.0
Uttar Pradesh,ETAWAH,School Profile,Schools in District,1.0
Jammu & Kashmir,SRINAGAR,School Profile,Schools in District,3.0
Madhya Pradesh,ANUPPUR,School Profile,Schools in District,1.0
Uttar Pradesh,BALRAMPUR,School Profile,Schools in District,1.0
Jharkhand,SIMDEGA,School Profile,Schools in District,2.0
Sikkim,EAST SIKKIM,School Profile,Schools in District,35.0
Gujarat,JUNAGADH,School Profile,Schools in District,3.0
Maharashtra,BULDANA,School Profile,Schools in District,2.0
Telangana,BHADRADRI,School Profile,Schools in District,4.0
Madhya Pradesh,AGAR MALWA,School Profile,Schools in District,1.0
Mizoram,LAWNGTLAI,School Profile,Schools in District,14.0
Nagaland,ZUNHEBOTO,School Profile,Schools in District,10.0
Madhya Pradesh,VIDISHA,School Profile,Schools in District,2.0
Arunachal Pradesh,LEPA RADA,School Profile,Schools in District,2.0
Haryana,KAITHAL,School Profile,Schools in District,4.0
West Bengal,NORTH 24 PARGANAS,School Profile,Schools in District,7.0
Karnataka,UTTARA KANNADA SIRSI,School Profile,Schools in District,2.0
Chhattisgarh,DHAMTARI,School Profile,Schools in District,3.0
Bihar,ROHTAS,School Profile,Schools in District,3.0
Madhya Pradesh,DAMOH,School Profile,Schools in District,2.0
Maharashtra,JALNA,School Profile,Schools in District,2.0
Telangana,RANGAREDDY,School Profile,Schools in District,7.0
Odisha,BALASORE,School Profile,Schools in District,5.0
Karnataka,BAGALKOT,School Profile,Schools in District,3.0
Jharkhand,SAHIBGANJ,School Profile,Schools in District,3.0
Mizoram,LUNGLEI,School Profile,Schools in District,19.0
Gujarat,PANCH MAHALS,School Profile,Schools in District,3.0
West Bengal,HOOGHLY,School Profile,Schools in District,5.0
Haryana,BHIWANI,School Profile,Schools in District,5.0
Chhattisgarh,BALRAMPUR,School Profile,Schools in District,4.0
Odisha,GANJAM,School Profile,Schools in District,6.0
Bihar,SARAN,School Profile,Schools in District,3.0
Gujarat,PORBANDAR,School Profile,Schools in District,1.0
Gujarat,RAJKOT,School Profile,Schools in District,5.0
Maharashtra,PUNE,School Profile,Schools in District,7.0
Uttar Pradesh,FATEHPUR,School Profile,Schools in District,1.0
Haryana,KARNAL,School Profile,Schools in District,6.0
Telangana,KAMAREDDY,School Profile,Schools in District,3.0
Himachal Pradesh,KULLU,School Profile,Schools in District,7.0
Telangana,KHAMMAM,School Profile,Schools in District,4.0
Odisha,DHENKANAL,School Profile,Schools in District,3.0
Rajasthan,CHITTAURGARH,School Profile,Schools in District,2.0
Uttar Pradesh,BAREILLY,School Profile,Schools in District,2.0
Madhya Pradesh,BALAGHAT,School Profile,Schools in District,2.0
Maharashtra,HINGOLI,School Profile,Schools in District,1.0
Gujarat,DEVBHOOMI DWARKA,School Profile,Schools in District,2.0
Mizoram,MAMIT,School Profile,Schools in District,10.0
Arunachal Pradesh,DIBANG VALLEY,School Profile,Schools in District,1.0
Tamilnadu,TIRUNELVELI,School Profile,Schools in District,5.0
Madhya Pradesh,CHHATARPUR,School Profile,Schools in District,2.0
Odisha,MALKANGIRI,School Profile,Schools in District,2.0
Uttar Pradesh,LAKHIMPUR KHERI,School Profile,Schools in District,2.0
Maharashtra,SINDHUDURG,School Profile,Schools in District,2.0
Madhya Pradesh,JABALPUR,School Profile,Schools in District,2.0
Assam,GOLAGHAT,School Profile,Schools in District,3.0
Karnataka,DAKSHINA KANNADA,School Profile,Schools in District,3.0
Jammu & Kashmir,BANDIPORA,School Profile,Schools in District,3.0
Haryana,FATEHABAD,School Profile,Schools in District,4.0
Tamilnadu,NAMAKKAL,School Profile,Schools in District,2.0
Himachal Pradesh,BILASPUR (H.P.),School Profile,Schools in District,6.0
Manipur,THOUBAL,School Profile,Schools in District,8.0
Telangana,PEDDAPALLI,School Profile,Schools in District,2.0
Karnataka,RAMANAGARA,School Profile,Schools in District,2.0
Uttar Pradesh,MAU,School Profile,Schools in District,1.0
Gujarat,NAVSARI,School Profile,Schools in District,2.0
Kerala,PALAKKAD,School Profile,Schools in District,8.0
Madhya Pradesh,KHARGONE,School Profile,Schools in District,3.0
Bihar,MADHEPURA,School Profile,Schools in District,2.0
Sikkim,WEST SIKKIM,School Profile,Schools in District,27.0
Rajasthan,JHALAWAR,School Profile,Schools in District,2.0
Jharkhand,GUMLA,School Profile,Schools in District,4.0
Tripura,WEST TRIPURA,School Profile,Schools in District,14.0
Manipur,JIRIBAM,School Profile,Schools in District,2.0
Punjab,MUKTSAR,School Profile,Schools in District,3.0
Punjab,SANGRUR,School Profile,Schools in District,5.0
Manipur,NONEY,School Profile,Schools in District,3.0
Jharkhand,PALAMU,School Profile,Schools in District,7.0
Bihar,ARARIA,School Profile,Schools in District,3.0
Karnataka,KOPPAL,School Profile,Schools in District,2.0
Manipur,CHURACHANDPUR,School Profile,Schools in District,10.0
Maharashtra,LATUR,School Profile,Schools in District,2.0
Andhra Pradesh,WEST GODAVARI,School Profile,Schools in District,7.0
Assam,MAJULI,School Profile,Schools in District,1.0
Rajasthan,BHARATPUR,School Profile,Schools in District,3.0
Punjab,GURDASPUR,School Profile,Schools in District,7.0
Karnataka,GADAG,School Profile,Schools in District,2.0
Odisha,SONEPUR,School Profile,Schools in District,2.0
Madhya Pradesh,MANDSAUR,School Profile,Schools in District,2.0
Uttar Pradesh,BUDAUN,School Profile,Schools in District,1.0
Madhya Pradesh,PANNA,School Profile,Schools in District,2.0
Karnataka,RAICHUR,School Profile,Schools in District,3.0
Gujarat,SURENDRANAGAR,School Profile,Schools in District,3.0
Bihar,KATIHAR,School Profile,Schools in District,3.0
Arunachal Pradesh,LONGDING,School Profile,Schools in District,3.0
West Bengal,NADIA,School Profile,Schools in District,5.0
Odisha,BARAGARH,School Profile,Schools in District,3.0
Tamilnadu,THE NILGIRIS,School Profile,Schools in District,1.0
Tamilnadu,DINDIGUL,School Profile,Schools in District,3.0
Telangana,YADADRI,School Profile,Schools in District,2.0
Andaman & Nicobar Islands,ANDAMAN ISLANDS,School Profile,Schools in District,86.0
Himachal Pradesh,UNA,School Profile,Schools in District,5.0
Madhya Pradesh,BHOPAL,School Profile,Schools in District,2.0
Manipur,BISHNUPUR,School Profile,Schools in District,7.0
Arunachal Pradesh,CAPITAL COMPLEX ITANAGAR,School Profile,Schools in District,4.0
Karnataka,KODAGU,School Profile,Schools in District,1.0
Tamilnadu,SALEM,School Profile,Schools in District,4.0
Himachal Pradesh,SHIMLA,School Profile,Schools in District,15.0
Bihar,BUXAR,School Profile,Schools in District,2.0
Madhya Pradesh,ALIRAJPUR,School Profile,Schools in District,2.0
Rajasthan,DAUSA,School Profile,Schools in District,2.0
Jharkhand,JAMTARA,School Profile,Schools in District,2.0
Maharashtra,NANDURBAR,School Profile,Schools in District,2.0
Gujarat,VALSAD,School Profile,Schools in District,3.0
Odisha,JAGATSINGHPUR,School Profile,Schools in District,3.0
Maharashtra,BHANDARA,School Profile,Schools in District,1.0
Rajasthan,KOTA,School Profile,Schools in District,2.0
Arunachal Pradesh,PAPUM PARE,School Profile,Schools in District,7.0
Karnataka,TUMAKURU MADHUGIRI,School Profile,Schools in District,2.0
Uttarakhand,ALMORA,School Profile,Schools in District,9.0
Tamilnadu,DHARMAPURI,School Profile,Schools in District,3.0
Arunachal Pradesh,EAST SIANG,School Profile,Schools in District,4.0
Uttarakhand,CHAMOLI,School Profile,Schools in District,7.0
Rajasthan,SIKAR,School Profile,Schools in District,3.0
Mizoram,AIZAWL,School Profile,Schools in District,26.0
Madhya Pradesh,NEEMUCH,School Profile,Schools in District,1.0
Gujarat,AHMEDABAD,School Profile,Schools in District,7.0
Uttar Pradesh,FARRUKHABAD,School Profile,Schools in District,1.0
Gujarat,CHHOTAUDEPUR,School Profile,Schools in District,3.0
Chhattisgarh,MAHASAMUND,School Profile,Schools in District,4.0
Rajasthan,RAJSAMAND,School Profile,Schools in District,2.0
Telangana,MULUGU,School Profile,Schools in District,1.0
Punjab,Fazilka,School Profile,Schools in District,4.0
Uttarakhand,NAINITAL,School Profile,Schools in District,8.0
Uttar Pradesh,BULANDSHAHR,School Profile,Schools in District,1.0
Rajasthan,GANGANAGAR,School Profile,Schools in District,3.0
Madhya Pradesh,KATNI,School Profile,Schools in District,2.0
Maharashtra,SATARA,School Profile,Schools in District,4.0
Jammu & Kashmir,REASI,School Profile,Schools in District,4.0
Bihar,SUPAUL,School Profile,Schools in District,2.0
Maharashtra,PARBHANI,School Profile,Schools in District,2.0
Rajasthan,BARMER,School Profile,Schools in District,5.0
Arunachal Pradesh,CHANGLANG,School Profile,Schools in District,9.0
Uttar Pradesh,HARDOI,School Profile,Schools in District,2.0
Jharkhand,DUMKA,School Profile,Schools in District,6.0
Chhattisgarh,DURG,School Profile,Schools in District,3.0
Gujarat,BOTAD,School Profile,Schools in District,1.0
Arunachal Pradesh,WEST SIANG,School Profile,Schools in District,4.0
Madhya Pradesh,RATLAM,School Profile,Schools in District,2.0
Nagaland,WOKHA,School Profile,Schools in District,7.0
Madhya Pradesh,CHHINDWARA,School Profile,Schools in District,3.0
Jharkhand,KHUNTI,School Profile,Schools in District,2.0
Bihar,VAISHALI,School Profile,Schools in District,3.0
Jammu & Kashmir,KATHUA,School Profile,Schools in District,6.0
Uttar Pradesh,PRATAPGARH,School Profile,Schools in District,2.0
Meghalaya,SOUTH GARO HILLS,School Profile,Schools in District,7.0
Jammu & Kashmir,KULGAM,School Profile,Schools in District,4.0
West Bengal,HOWRAH,School Profile,Schools in District,4.0
Bihar,NALANDA,School Profile,Schools in District,3.0
Haryana,AMBALA,School Profile,Schools in District,5.0
Meghalaya,SOUTH WEST GARO HILLS,School Profile,Schools in District,5.0
Arunachal Pradesh,EAST KAMENG,School Profile,Schools in District,5.0
Uttarakhand,RUDRAPRAYAG,School Profile,Schools in District,4.0
Telangana,JANGAON,School Profile,Schools in District,2.0
Uttar Pradesh,KANSHIRAM NAGAR,School Profile,Schools in District,1.0
Uttarakhand,TEHRI GARHWAL,School Profile,Schools in District,10.0
Uttar Pradesh,FIROZABAD,School Profile,Schools in District,1.0
Arunachal Pradesh,KURUNG KUMEY,School Profile,Schools in District,3.0
Rajasthan,JALOR,School Profile,Schools in District,3.0
Jharkhand,RANCHI,School Profile,Schools in District,8.0
Chhattisgarh,GARIABAND,School Profile,Schools in District,3.0
Chhattisgarh,MUNGELI,School Profile,Schools in District,2.0
Assam,CHIRANG,School Profile,Schools in District,2.0
Andhra Pradesh,GUNTUR,School Profile,Schools in District,8.0
Kerala,IDUKKI,School Profile,Schools in District,4.0
Himachal Pradesh,LAHUL & SPITI,School Profile,Schools in District,1.0
Arunachal Pradesh,SHI YOMI,School Profile,Schools in District,1.0
Tamilnadu,THANJAVUR,School Profile,Schools in District,4.0
Gujarat,KACHCHH,School Profile,Schools in District,5.0
Madhya Pradesh,DATIA,School Profile,Schools in District,1.0
Haryana,PALWAL,School Profile,Schools in District,5.0
Puducherry,KARAIKAL,School Profile,Schools in District,23.0
Assam,BONGAIGAON,School Profile,Schools in District,2.0
Telangana,MANCHERIAL,School Profile,Schools in District,3.0
Gujarat,BHAVNAGAR,School Profile,Schools in District,3.0
Jharkhand,DEOGHAR,School Profile,Schools in District,5.0
West Bengal,DAKSHIN DINAJPUR,School Profile,Schools in District,2.0
Chhattisgarh,JANJGIR - CHAMPA,School Profile,Schools in District,6.0
Nagaland,MOKOKCHUNG,School Profile,Schools in District,9.0
Punjab,PATIALA,School Profile,Schools in District,7.0
Bihar,BHAGALPUR,School Profile,Schools in District,3.0
Gujarat,SABAR KANTHA,School Profile,Schools in District,3.0
West Bengal,JALPAIGURI,School Profile,Schools in District,3.0
Odisha,KORAPUT,School Profile,Schools in District,4.0
Manipur,TAMENGLONG,School Profile,Schools in District,6.0
Bihar,MADHUBANI,School Profile,Schools in District,4.0
Jharkhand,SARAIKELA-KHARSAWAN,School Profile,Schools in District,4.0
Gujarat,VADODARA,School Profile,Schools in District,4.0
Jharkhand,PAKAUR,School Profile,Schools in District,3.0
Maharashtra,AURANGABAD (MAHARASHTRA),School Profile,Schools in District,4.0
Andhra Pradesh,CHITTOOR,School Profile,Schools in District,10.0
Nagaland,MON,School Profile,Schools in District,11.0
Gujarat,DOHAD,School Profile,Schools in District,4.0
Chhattisgarh,RAJNANDGAON,School Profile,Schools in District,6.0
Punjab,BATHINDA,School Profile,Schools in District,4.0
Tamilnadu,TIRUVANNAMALAI,School Profile,Schools in District,4.0
Uttarakhand,HARDWAR,School Profile,Schools in District,10.0
Rajasthan,BARAN,School Profile,Schools in District,2.0
Karnataka,CHIKKAMANGALURU,School Profile,Schools in District,3.0
Uttarakhand,PAURI,School Profile,Schools in District,11.0
Uttarakhand,CHAMPAWAT,School Profile,Schools in District,3.0
Himachal Pradesh,HAMIRPUR (H.P.),School Profile,Schools in District,5.0
Tamilnadu,PERAMBALUR,School Profile,Schools in District,1.0
Kerala,WAYANAD,School Profile,Schools in District,3.0
West Bengal,PURBA BARDHAMAN,School Profile,Schools in District,5.0
Rajasthan,NAGAUR,School Profile,Schools in District,5.0
Rajasthan,DHAULPUR,School Profile,Schools in District,2.0
Odisha,RAYAGADA,School Profile,Schools in District,3.0
Arunachal Pradesh,LOWER DIBANG VALLEY,School Profile,Schools in District,3.0
Assam,WEST KARBI ANGLONG,School Profile,Schools in District,1.0
Uttar Pradesh,DEORIA,School Profile,Schools in District,2.0
Andhra Pradesh,PRAKASAM,School Profile,Schools in District,7.0
Kerala,KOLLAM,School Profile,Schools in District,8.0
Uttar Pradesh,VARANASI,School Profile,Schools in District,1.0
Odisha,SUNDERGARH,School Profile,Schools in District,5.0
Andhra Pradesh,VIZIANAGARAM,School Profile,Schools in District,5.0
Uttar Pradesh,GONDA,School Profile,Schools in District,2.0
Kerala,PATHANAMTHITTA,School Profile,Schools in District,5.0
Arunachal Pradesh,WEST KAMENG,School Profile,Schools in District,6.0
Assam,SIBSAGAR,School Profile,Schools in District,2.0
Haryana,FARIDABAD,School Profile,Schools in District,6.0
Assam,KAMPRUP,School Profile,Schools in District,2.0
Puducherry,PONDICHERRY,School Profile,Schools in District,68.0
Uttar Pradesh,KANPUR,School Profile,Schools in District,3.0
Assam,BISWANATH,School Profile,Schools in District,2.0
West Bengal,PURULIA,School Profile,Schools in District,5.0
Uttar Pradesh,RAE BARELI,School Profile,Schools in District,1.0
Odisha,BHADRAK,School Profile,Schools in District,3.0
Telangana,NAGARKURNOOL,School Profile,Schools in District,3.0
Chhattisgarh,KORBA,School Profile,Schools in District,4.0
West Bengal,BIRBHUM,School Profile,Schools in District,4.0
Tamilnadu,NAGAPATTINAM,School Profile,Schools in District,3.0
Manipur,PHERZAWL,School Profile,Schools in District,3.0
Uttar Pradesh,MAHOBA,School Profile,Schools in District,1.0
Karnataka,BIDAR,School Profile,Schools in District,4.0
Tamilnadu,CUDDALORE,School Profile,Schools in District,4.0
Punjab,FIROZPUR,School Profile,Schools in District,4.0
Telangana,HYDERABAD,School Profile,Schools in District,7.0
West Bengal,DARJEELING,School Profile,Schools in District,1.0
Karnataka,KALBURGI,School Profile,Schools in District,5.0
Mizoram,CHAMPHAI,School Profile,Schools in District,12.0
Uttar Pradesh,MEERUT,School Profile,Schools in District,1.0
Tamilnadu,KRISHNAGIRI,School Profile,Schools in District,3.0
Assam,LAKHIMPUR KHERI,School Profile,Schools in District,5.0
Telangana,MAHABUBABAD,School Profile,Schools in District,3.0
Kerala,ERNAKULAM,School Profile,Schools in District,8.0
Punjab,PATHANKOT,School Profile,Schools in District,3.0
Assam,HAILAKANDI,School Profile,Schools in District,4.0
Odisha,KALAHANDI,School Profile,Schools in District,4.0
Jharkhand,RAMGARH,School Profile,Schools in District,2.0
Kerala,KASARAGOD,School Profile,Schools in District,5.0
Chhattisgarh,KAWARDHA,School Profile,Schools in District,3.0
Jammu & Kashmir,KISHTWAR,School Profile,Schools in District,3.0
Telangana,JAYASHANKAR,School Profile,Schools in District,1.0
Tamilnadu,TIRUCHIRAPPALLI,School Profile,Schools in District,4.0
Maharashtra,YAVATMAL,School Profile,Schools in District,3.0
Karnataka,HASSAN,School Profile,Schools in District,4.0
Punjab,MOGA,School Profile,Schools in District,3.0
Haryana,YAMUNANAGAR,School Profile,Schools in District,6.0
Chhattisgarh,SURGUJA,School Profile,Schools in District,4.0
Odisha,NUAPADA,School Profile,Schools in District,2.0
Rajasthan,JAIPUR,School Profile,Schools in District,9.0
Lakshadweep,LAKSHADWEEP,School Profile,Schools in District,100.0
Jharkhand,GIRIDIH,School Profile,Schools in District,9.0
Madhya Pradesh,MORENA,School Profile,Schools in District,3.0
Uttar Pradesh,SHAMLI (PRABUDH NAGAR),School Profile,Schools in District,1.0
Andhra Pradesh,KRISHNA,School Profile,Schools in District,7.0
Uttarakhand,UDHAM SINGH NAGAR,School Profile,Schools in District,10.0
Uttar Pradesh,CHANDAULI,School Profile,Schools in District,1.0
Karnataka,CHAMARAJANAGARA,School Profile,Schools in District,2.0
Assam,BARPETA,School Profile,Schools in District,5.0
Jammu & Kashmir,SAMBA,School Profile,Schools in District,2.0
Kerala,KANNUR,School Profile,Schools in District,10.0
Uttar Pradesh,SONBHADRA,School Profile,Schools in District,1.0
Himachal Pradesh,SIRMAUR,School Profile,Schools in District,9.0
Telangana,MEDAK,School Profile,Schools in District,3.0
Assam,MORIGAON,School Profile,Schools in District,3.0
Arunachal Pradesh,UPPER SUBANSIRI,School Profile,Schools in District,7.0
Tripura,GOMATI,School Profile,Schools in District,12.0
Madhya Pradesh,SHAHDOL,School Profile,Schools in District,2.0
Jammu & Kashmir,KUPWARA,School Profile,Schools in District,8.0
Uttar Pradesh,SULTANPUR,School Profile,Schools in District,1.0
Uttar Pradesh,FAIZABAD,School Profile,Schools in District,1.0
West Bengal,JHARGRAM,School Profile,Schools in District,3.0
Uttar Pradesh,BASTI,School Profile,Schools in District,1.0
Jammu & Kashmir,BADGAM,School Profile,Schools in District,5.0
Tamilnadu,VIRUDHUNAGAR,School Profile,Schools in District,3.0
Maharashtra,SANGLI,School Profile,Schools in District,3.0
Maharashtra,GREATER BOMBAY,School Profile,Schools in District,4.0
Meghalaya,JAINTIA HILLS,School Profile,Schools in District,13.0
Maharashtra,KOLHAPUR,School Profile,Schools in District,3.0
Chhattisgarh,BIJAPUR,School Profile,Schools in District,1.0
Haryana,HISAR,School Profile,Schools in District,7.0
Haryana,PANIPAT,School Profile,Schools in District,4.0
Gujarat,MAHESANA,School Profile,Schools in District,3.0
Tamilnadu,MADURAI,School Profile,Schools in District,4.0
Madhya Pradesh,HOSHANGABAD,School Profile,Schools in District,1.0
West Bengal,MURSHIDABAD,School Profile,Schools in District,7.0
Karnataka,BELAGAVI,School Profile,Schools in District,3.0
Karnataka,HAVERI,School Profile,Schools in District,3.0
Karnataka,CHIKKABALLAPURA,School Profile,Schools in District,3.0
Madhya Pradesh,SHAJAPUR,School Profile,Schools in District,1.0
Sikkim,NORTH SIKKIM,School Profile,Schools in District,9.0
Telangana,KOMARAM BHEEM,School Profile,Schools in District,3.0
