Organization,State,Categories,Contact
Azad Foundation,gujarat,"Livelihood, Women Empowerment",Tel:  9999000646 Email:  meenu.vadera@azadfoundation.com Website:  http://www.azadfoundation.com
Azad Foundation,karnataka,"Livelihood, Women Empowerment",Tel:  9999000646 Email:  meenu.vadera@azadfoundation.com Website:  http://www.azadfoundation.com
Azad Foundation,madhya pradesh,"Livelihood, Women Empowerment",Tel:  9999000646 Email:  meenu.vadera@azadfoundation.com Website:  http://www.azadfoundation.com
Azad Foundation,odisha,"Livelihood, Women Empowerment",Tel:  9999000646 Email:  meenu.vadera@azadfoundation.com Website:  http://www.azadfoundation.com
Azad Foundation,rajasthan,"Livelihood, Women Empowerment",Tel:  9999000646 Email:  meenu.vadera@azadfoundation.com Website:  http://www.azadfoundation.com
Azad Foundation,tamil nadu,"Livelihood, Women Empowerment",Tel:  9999000646 Email:  meenu.vadera@azadfoundation.com Website:  http://www.azadfoundation.com
Azad Foundation,uttar pradesh,"Livelihood, Women Empowerment",Tel:  9999000646 Email:  meenu.vadera@azadfoundation.com Website:  http://www.azadfoundation.com
Azad Foundation,west bengal,"Livelihood, Women Empowerment",Tel:  9999000646 Email:  meenu.vadera@azadfoundation.com Website:  http://www.azadfoundation.com
Balivara Organisation For Fellow Feat Empowerment And Reconstruction,west bengal,"Agriculture, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9831290319 Email:  offerbalivara@gmail.com Website:  http://www.balivaraoffer.org
Barasat Unnayan Prostuti,west bengal,"Education, Environment, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9125421334 Email:  reachbup@yahoo.co.in Website:  http://www.bupkolkata.org
Basic Foundation,bihar,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818272721 Email:  basic@basicfoundation.org Website:  http://www.basicfoundation.org
Basic Foundation,delhi,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818272721 Email:  basic@basicfoundation.org Website:  http://www.basicfoundation.org
Basic Foundation,jharkhand,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818272721 Email:  basic@basicfoundation.org Website:  http://www.basicfoundation.org
Basic Foundation,rajasthan,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818272721 Email:  basic@basicfoundation.org Website:  http://www.basicfoundation.org
Basic Foundation,uttarakhand,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818272721 Email:  basic@basicfoundation.org Website:  http://www.basicfoundation.org
Basic Foundation,uttar pradesh,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818272721 Email:  basic@basicfoundation.org Website:  http://www.basicfoundation.org
Basic Foundation,west bengal,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818272721 Email:  basic@basicfoundation.org Website:  http://www.basicfoundation.org
Bhartiya Gramotthan Seva Vikas Sansthan (BGSVS),uttarakhand,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9415072788 Email:  bgsvs@rediffmail.com Website:  http://www.bgsvs.org.in
Bhartiya Gramotthan Seva Vikas Sansthan (BGSVS),uttar pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9415072788 Email:  bgsvs@rediffmail.com Website:  http://www.bgsvs.org.in
Bosco Boys Welfare Society,maharashtra,"Education, Women Empowerment",Tel:  9822492895 Email:  directorbbh@gmail.com Website:  https://boscoboyshome.org
Brighter Future Development Trust,andhra pradesh,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849195178 Email:  brighterfutureindia@gmail.com Website:  http://brighterfutureinternationltrust.co.uk
Brighter Future Development Trust,odisha,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849195178 Email:  brighterfutureindia@gmail.com Website:  http://brighterfutureinternationltrust.co.uk
Cankids...Kidscan,andaman and nicobar islands,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,assam,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,bihar,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,chandigarh,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,delhi,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,goa,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,gujarat,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,haryana,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,himachal pradesh,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,jammu & kashmir,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,jharkhand,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,karnataka,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,kerala,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,maharashtra,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,odisha,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,puducherry,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,punjab,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,rajasthan,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,tamil nadu,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,telangana,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,uttarakhand,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,uttar pradesh,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Cankids...Kidscan,west bengal,"Education, Health, Livelihood, Women Empowerment",Tel:  9811525745 Email:  gmrmcommunication@cankidsindia.org Website:  http://www.cankidsindia.org
Centers For International Projects Trust,delhi,"Agriculture, Environment, Livelihood, Rural Development",Tel:  01140565989 Email:  sandeep@cipt.in Website:  http://www.cipt.in/
Centers For International Projects Trust,gujarat,"Agriculture, Environment, Livelihood, Rural Development",Tel:  01140565989 Email:  sandeep@cipt.in Website:  http://www.cipt.in/
Centers For International Projects Trust,jharkhand,"Agriculture, Environment, Livelihood, Rural Development",Tel:  01140565989 Email:  sandeep@cipt.in Website:  http://www.cipt.in/
Centers For International Projects Trust,punjab,"Agriculture, Environment, Livelihood, Rural Development",Tel:  01140565989 Email:  sandeep@cipt.in Website:  http://www.cipt.in/
Centre For Catalyzing Change,arunachal pradesh,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,assam,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,bihar,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,chhattisgarh,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,delhi,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,gujarat,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,haryana,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,jharkhand,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,maharashtra,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,odisha,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,rajasthan,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Catalyzing Change,west bengal,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9810245977 Email:  ksengupta@c3india.org Website:  http://www.c3india.org/
Centre For Economic And Social Studies,andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849943763 Email:  director@cess.ac.in Website:  http://cess.ac.in
Centre For Economic And Social Studies,telangana,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849943763 Email:  director@cess.ac.in Website:  http://cess.ac.in
Centre For Unfolding Learning Potentials (CULP),rajasthan,"Education, Environment, Health, Rural Development, Women Empowerment",Tel:  9414068212 Email:  culpjaipur@gmail.com Website:  http://culpraj.org/
Centre For Wildlife Studies,assam,"Agriculture, Education, Environment, Livelihood",Tel:  9900902041 Email:  krithi.karanth@cwsindia.org Website:  https://cwsindia.org/
Centre For Wildlife Studies,karnataka,"Agriculture, Education, Environment, Livelihood",Tel:  9900902041 Email:  krithi.karanth@cwsindia.org Website:  https://cwsindia.org/
